episodes,rewards,steps
0,25.0,25
1,13.0,13
2,58.0,58
3,10.0,10
4,39.0,39
5,39.0,39
6,25.0,25
7,22.0,22
8,21.0,21
9,27.0,27
10,35.0,35
11,26.0,26
12,38.0,38
13,29.0,29
14,50.0,50
15,20.0,20
16,52.0,52
17,12.0,12
18,20.0,20
19,38.0,38
20,22.0,22
21,36.0,36
22,20.0,20
23,35.0,35
24,90.0,90
25,29.0,29
26,16.0,16
27,25.0,25
28,46.0,46
29,33.0,33
30,11.0,11
31,27.0,27
32,32.0,32
33,21.0,21
34,11.0,11
35,21.0,21
36,51.0,51
37,29.0,29
38,50.0,50
39,19.0,19
40,41.0,41
41,28.0,28
42,71.0,71
43,45.0,45
44,42.0,42
45,39.0,39
46,21.0,21
47,14.0,14
48,23.0,23
49,21.0,21
50,34.0,34
51,14.0,14
52,41.0,41
53,99.0,99
54,21.0,21
55,52.0,52
56,34.0,34
57,73.0,73
58,21.0,21
59,27.0,27
60,51.0,51
61,46.0,46
62,21.0,21
63,20.0,20
64,44.0,44
65,16.0,16
66,39.0,39
67,30.0,30
68,37.0,37
69,20.0,20
70,21.0,21
71,13.0,13
72,65.0,65
73,45.0,45
74,45.0,45
75,46.0,46
76,13.0,13
77,33.0,33
78,30.0,30
79,52.0,52
80,27.0,27
81,30.0,30
82,47.0,47
83,56.0,56
84,19.0,19
85,33.0,33
86,25.0,25
87,41.0,41
88,20.0,20
89,58.0,58
90,35.0,35
91,23.0,23
92,12.0,12
93,20.0,20
94,10.0,10
95,49.0,49
96,29.0,29
97,35.0,35
98,36.0,36
99,36.0,36
100,16.0,16
101,36.0,36
102,30.0,30
103,76.0,76
104,52.0,52
105,39.0,39
106,52.0,52
107,69.0,69
108,27.0,27
109,14.0,14
110,28.0,28
111,12.0,12
112,26.0,26
113,50.0,50
114,25.0,25
115,53.0,53
116,19.0,19
117,33.0,33
118,34.0,34
119,41.0,41
120,25.0,25
121,18.0,18
122,114.0,114
123,25.0,25
