episodes,rewards,steps
0,16.0,16
1,14.0,14
2,18.0,18
3,31.0,31
4,23.0,23
5,43.0,43
6,14.0,14
7,20.0,20
8,24.0,24
9,14.0,14
10,12.0,12
11,16.0,16
12,17.0,17
13,13.0,13
14,78.0,78
15,36.0,36
16,9.0,9
17,19.0,19
18,18.0,18
19,20.0,20
20,33.0,33
21,37.0,37
22,15.0,15
23,24.0,24
24,32.0,32
25,19.0,19
26,65.0,65
27,13.0,13
28,26.0,26
29,27.0,27
30,15.0,15
31,10.0,10
32,16.0,16
33,30.0,30
34,42.0,42
35,30.0,30
36,35.0,35
37,21.0,21
38,36.0,36
39,18.0,18
40,81.0,81
41,12.0,12
42,21.0,21
43,32.0,32
44,39.0,39
45,10.0,10
46,13.0,13
47,35.0,35
48,22.0,22
49,20.0,20
50,67.0,67
51,28.0,28
52,13.0,13
53,14.0,14
54,13.0,13
55,26.0,26
56,12.0,12
57,17.0,17
58,41.0,41
59,14.0,14
60,68.0,68
61,12.0,12
62,20.0,20
63,19.0,19
64,31.0,31
65,31.0,31
66,34.0,34
67,24.0,24
68,31.0,31
69,37.0,37
70,49.0,49
71,15.0,15
72,97.0,97
73,18.0,18
74,20.0,20
75,31.0,31
76,68.0,68
77,21.0,21
78,19.0,19
79,19.0,19
80,19.0,19
81,14.0,14
82,17.0,17
83,35.0,35
84,25.0,25
85,59.0,59
86,29.0,29
87,35.0,35
88,73.0,73
89,26.0,26
90,81.0,81
91,20.0,20
92,78.0,78
93,26.0,26
94,43.0,43
95,25.0,25
96,24.0,24
97,14.0,14
98,27.0,27
99,16.0,16
100,68.0,68
101,57.0,57
102,31.0,31
103,46.0,46
104,17.0,17
105,16.0,16
106,21.0,21
107,25.0,25
108,13.0,13
109,50.0,50
110,12.0,12
111,34.0,34
112,16.0,16
113,34.0,34
114,19.0,19
115,38.0,38
116,20.0,20
117,42.0,42
118,28.0,28
119,53.0,53
120,43.0,43
121,37.0,37
122,13.0,13
123,29.0,29
124,17.0,17
125,23.0,23
126,22.0,22
127,21.0,21
128,62.0,62
129,52.0,52
130,32.0,32
131,37.0,37
132,38.0,38
133,28.0,28
134,33.0,33
135,33.0,33
136,35.0,35
137,43.0,43
138,41.0,41
139,18.0,18
140,30.0,30
141,48.0,48
142,50.0,50
143,34.0,34
144,86.0,86
145,21.0,21
146,29.0,29
147,29.0,29
148,24.0,24
149,88.0,88
150,28.0,28
151,19.0,19
152,35.0,35
153,24.0,24
154,11.0,11
155,49.0,49
156,30.0,30
157,44.0,44
158,26.0,26
159,19.0,19
160,12.0,12
161,65.0,65
162,18.0,18
163,11.0,11
164,38.0,38
165,28.0,28
166,17.0,17
167,51.0,51
168,18.0,18
169,39.0,39
170,22.0,22
171,26.0,26
172,33.0,33
173,35.0,35
174,60.0,60
175,12.0,12
176,19.0,19
177,62.0,62
178,79.0,79
179,36.0,36
180,31.0,31
181,23.0,23
182,23.0,23
183,40.0,40
184,19.0,19
185,18.0,18
186,18.0,18
187,23.0,23
188,43.0,43
189,45.0,45
190,28.0,28
191,61.0,61
192,50.0,50
193,40.0,40
194,9.0,9
195,56.0,56
196,43.0,43
197,43.0,43
198,18.0,18
199,43.0,43
200,26.0,26
201,44.0,44
202,35.0,35
203,25.0,25
204,31.0,31
205,26.0,26
206,40.0,40
207,36.0,36
208,50.0,50
209,25.0,25
210,29.0,29
211,11.0,11
212,23.0,23
213,23.0,23
214,36.0,36
215,39.0,39
216,45.0,45
217,14.0,14
218,46.0,46
219,62.0,62
220,15.0,15
221,19.0,19
222,28.0,28
223,39.0,39
224,14.0,14
225,25.0,25
226,35.0,35
227,16.0,16
228,22.0,22
229,41.0,41
230,21.0,21
231,22.0,22
232,37.0,37
233,32.0,32
234,18.0,18
235,23.0,23
236,23.0,23
237,16.0,16
238,38.0,38
239,25.0,25
240,37.0,37
241,13.0,13
242,30.0,30
243,27.0,27
244,27.0,27
245,23.0,23
246,62.0,62
247,31.0,31
248,37.0,37
249,26.0,26
250,77.0,77
251,15.0,15
252,25.0,25
253,20.0,20
254,27.0,27
255,42.0,42
256,41.0,41
257,34.0,34
258,23.0,23
259,37.0,37
260,47.0,47
261,22.0,22
262,34.0,34
263,10.0,10
264,37.0,37
265,29.0,29
266,49.0,49
267,67.0,67
268,15.0,15
269,81.0,81
270,95.0,95
271,54.0,54
272,19.0,19
273,31.0,31
274,54.0,54
275,46.0,46
276,21.0,21
277,22.0,22
278,58.0,58
279,58.0,58
280,37.0,37
281,37.0,37
282,25.0,25
283,20.0,20
284,46.0,46
285,80.0,80
286,25.0,25
287,18.0,18
288,18.0,18
289,18.0,18
290,37.0,37
291,20.0,20
292,62.0,62
293,22.0,22
294,23.0,23
295,28.0,28
296,38.0,38
297,15.0,15
298,17.0,17
299,20.0,20
300,20.0,20
301,18.0,18
302,77.0,77
303,54.0,54
304,95.0,95
305,25.0,25
306,79.0,79
307,116.0,116
308,52.0,52
309,58.0,58
310,15.0,15
311,60.0,60
312,97.0,97
313,61.0,61
314,18.0,18
315,69.0,69
316,18.0,18
317,20.0,20
318,19.0,19
319,16.0,16
320,21.0,21
321,12.0,12
322,30.0,30
323,51.0,51
324,37.0,37
325,28.0,28
326,29.0,29
327,66.0,66
328,56.0,56
329,79.0,79
330,56.0,56
331,70.0,70
332,33.0,33
333,54.0,54
334,35.0,35
335,18.0,18
336,141.0,141
337,38.0,38
338,18.0,18
339,34.0,34
340,20.0,20
341,95.0,95
342,29.0,29
343,40.0,40
344,20.0,20
345,14.0,14
346,83.0,83
347,72.0,72
348,88.0,88
349,41.0,41
350,103.0,103
351,85.0,85
352,14.0,14
353,51.0,51
354,68.0,68
355,102.0,102
356,61.0,61
357,22.0,22
358,22.0,22
359,15.0,15
360,23.0,23
361,35.0,35
362,72.0,72
363,32.0,32
364,107.0,107
365,34.0,34
366,28.0,28
367,99.0,99
368,140.0,140
369,40.0,40
370,24.0,24
371,157.0,157
372,33.0,33
373,35.0,35
374,18.0,18
375,21.0,21
376,23.0,23
377,67.0,67
378,112.0,112
379,21.0,21
380,38.0,38
381,12.0,12
382,23.0,23
383,31.0,31
384,36.0,36
385,20.0,20
386,82.0,82
387,20.0,20
388,32.0,32
389,28.0,28
390,26.0,26
391,26.0,26
392,46.0,46
393,35.0,35
394,32.0,32
395,67.0,67
396,30.0,30
397,36.0,36
398,67.0,67
399,51.0,51
400,21.0,21
401,28.0,28
402,46.0,46
403,29.0,29
404,30.0,30
405,22.0,22
406,24.0,24
407,78.0,78
408,28.0,28
409,41.0,41
410,38.0,38
411,56.0,56
412,19.0,19
413,38.0,38
414,51.0,51
415,33.0,33
416,40.0,40
417,35.0,35
418,59.0,59
419,138.0,138
420,18.0,18
421,10.0,10
422,25.0,25
423,104.0,104
424,127.0,127
425,44.0,44
426,35.0,35
427,62.0,62
428,108.0,108
429,39.0,39
430,15.0,15
431,73.0,73
432,24.0,24
433,23.0,23
434,35.0,35
435,14.0,14
436,47.0,47
437,112.0,112
438,79.0,79
439,99.0,99
440,66.0,66
441,64.0,64
442,63.0,63
443,28.0,28
444,116.0,116
445,94.0,94
446,91.0,91
447,60.0,60
448,22.0,22
449,68.0,68
450,22.0,22
451,34.0,34
452,23.0,23
453,117.0,117
454,26.0,26
455,30.0,30
456,31.0,31
457,50.0,50
458,56.0,56
459,81.0,81
460,43.0,43
461,49.0,49
462,62.0,62
463,64.0,64
464,16.0,16
465,37.0,37
466,103.0,103
467,66.0,66
468,25.0,25
469,50.0,50
470,118.0,118
471,42.0,42
472,69.0,69
473,55.0,55
474,41.0,41
475,25.0,25
476,114.0,114
477,27.0,27
478,27.0,27
479,61.0,61
480,61.0,61
481,66.0,66
