episodes,rewards,steps
0,-861.0,862
1,-252.0,253
2,-196.0,197
3,-390.0,391
4,-371.0,372
5,-237.0,238
6,-227.0,228
7,-228.0,229
8,-305.0,306
9,-234.0,235
10,-204.0,205
11,-277.0,278
12,-148.0,149
13,-372.0,373
14,-273.0,274
15,-105.0,106
16,-79.0,80
17,-112.0,113
18,-276.0,277
19,-148.0,149
20,-201.0,202
21,-173.0,174
22,-226.0,227
23,-154.0,155
24,-269.0,270
25,-191.0,192
26,-177.0,178
27,-209.0,210
28,-116.0,117
29,-117.0,118
30,-121.0,122
31,-208.0,209
32,-147.0,148
33,-104.0,105
34,-161.0,162
35,-144.0,145
36,-131.0,132
37,-226.0,227
38,-117.0,118
39,-344.0,345
40,-123.0,124
41,-232.0,233
42,-190.0,191
43,-176.0,177
44,-139.0,140
45,-410.0,411
46,-115.0,116
47,-118.0,119
48,-113.0,114
49,-355.0,356
50,-110.0,111
51,-148.0,149
52,-135.0,136
53,-220.0,221
54,-157.0,158
55,-130.0,131
56,-150.0,151
57,-254.0,255
58,-148.0,149
59,-108.0,109
60,-152.0,153
61,-107.0,108
62,-110.0,111
63,-266.0,267
64,-344.0,345
65,-93.0,94
66,-113.0,114
67,-191.0,192
68,-102.0,103
69,-187.0,188
70,-158.0,159
71,-166.0,167
72,-202.0,203
73,-179.0,180
74,-150.0,151
75,-170.0,171
76,-149.0,150
77,-119.0,120
78,-115.0,116
79,-97.0,98
80,-153.0,154
81,-97.0,98
82,-211.0,212
83,-195.0,196
84,-125.0,126
85,-155.0,156
86,-151.0,152
87,-194.0,195
88,-188.0,189
89,-195.0,196
90,-141.0,142
91,-132.0,133
92,-127.0,128
93,-195.0,196
94,-152.0,153
95,-145.0,146
96,-123.0,124
97,-176.0,177
98,-180.0,181
99,-124.0,125
