episodes,rewards,steps
0,18.0,18
1,35.0,35
2,13.0,13
3,32.0,32
4,16.0,16
5,12.0,12
6,13.0,13
7,15.0,15
8,11.0,11
9,15.0,15
10,9.0,9
11,13.0,13
12,13.0,13
13,10.0,10
14,9.0,9
15,24.0,24
16,8.0,8
17,10.0,10
18,11.0,11
19,13.0,13
20,12.0,12
21,11.0,11
22,9.0,9
23,21.0,21
24,14.0,14
25,12.0,12
26,9.0,9
27,11.0,11
28,12.0,12
29,13.0,13
30,10.0,10
31,13.0,13
32,18.0,18
33,9.0,9
34,10.0,10
35,9.0,9
36,10.0,10
37,10.0,10
38,10.0,10
39,8.0,8
40,9.0,9
41,9.0,9
42,20.0,20
43,16.0,16
44,17.0,17
45,17.0,17
46,17.0,17
47,18.0,18
48,25.0,25
49,31.0,31
50,22.0,22
51,39.0,39
52,36.0,36
53,26.0,26
54,33.0,33
55,56.0,56
56,112.0,112
57,101.0,101
58,69.0,69
59,75.0,75
60,182.0,182
61,52.0,52
62,67.0,67
63,53.0,53
64,119.0,119
65,200.0,200
66,74.0,74
67,138.0,138
68,149.0,149
69,144.0,144
70,200.0,200
71,198.0,198
72,200.0,200
73,200.0,200
74,200.0,200
75,200.0,200
76,200.0,200
77,200.0,200
78,200.0,200
79,200.0,200
80,200.0,200
81,200.0,200
82,200.0,200
83,200.0,200
84,200.0,200
85,200.0,200
86,200.0,200
87,200.0,200
88,200.0,200
89,200.0,200
90,200.0,200
91,200.0,200
92,200.0,200
93,200.0,200
94,200.0,200
95,200.0,200
96,200.0,200
97,200.0,200
98,200.0,200
99,200.0,200
