episodes,rewards,steps
0,38.0,38
1,16.0,16
2,28.0,28
3,10.0,10
4,18.0,18
5,10.0,10
6,8.0,8
7,19.0,19
8,18.0,18
9,32.0,32
10,12.0,12
11,14.0,14
12,16.0,16
13,20.0,20
14,33.0,33
15,24.0,24
16,28.0,28
17,33.0,33
18,31.0,31
19,14.0,14
20,10.0,10
21,19.0,19
22,16.0,16
23,19.0,19
24,11.0,11
25,23.0,23
26,20.0,20
27,26.0,26
28,16.0,16
29,16.0,16
30,11.0,11
31,13.0,13
32,16.0,16
33,42.0,42
34,15.0,15
35,38.0,38
36,16.0,16
37,46.0,46
38,28.0,28
39,60.0,60
40,32.0,32
41,9.0,9
42,23.0,23
43,19.0,19
44,12.0,12
45,17.0,17
46,27.0,27
47,22.0,22
48,26.0,26
49,11.0,11
50,15.0,15
51,9.0,9
52,24.0,24
53,29.0,29
54,11.0,11
55,16.0,16
56,23.0,23
57,14.0,14
58,11.0,11
59,16.0,16
60,24.0,24
61,27.0,27
62,11.0,11
63,20.0,20
64,14.0,14
65,11.0,11
66,15.0,15
67,16.0,16
68,13.0,13
69,28.0,28
70,14.0,14
71,10.0,10
72,28.0,28
73,20.0,20
74,13.0,13
75,11.0,11
76,27.0,27
77,15.0,15
78,14.0,14
79,14.0,14
80,10.0,10
81,11.0,11
82,14.0,14
83,13.0,13
84,15.0,15
85,13.0,13
86,10.0,10
87,11.0,11
88,11.0,11
89,13.0,13
90,14.0,14
91,25.0,25
92,14.0,14
93,14.0,14
94,19.0,19
95,18.0,18
96,9.0,9
97,9.0,9
98,11.0,11
99,19.0,19
100,10.0,10
101,40.0,40
102,10.0,10
103,13.0,13
104,13.0,13
105,18.0,18
106,13.0,13
107,11.0,11
108,11.0,11
109,18.0,18
110,20.0,20
111,10.0,10
112,24.0,24
113,9.0,9
114,10.0,10
115,13.0,13
116,21.0,21
117,12.0,12
118,14.0,14
119,10.0,10
120,10.0,10
121,16.0,16
122,10.0,10
123,18.0,18
124,13.0,13
125,17.0,17
126,14.0,14
127,12.0,12
128,16.0,16
129,11.0,11
130,15.0,15
131,10.0,10
132,13.0,13
133,17.0,17
134,9.0,9
135,34.0,34
136,23.0,23
137,14.0,14
138,17.0,17
139,13.0,13
140,27.0,27
141,15.0,15
142,16.0,16
143,15.0,15
144,11.0,11
145,12.0,12
146,9.0,9
147,30.0,30
148,12.0,12
149,12.0,12
150,13.0,13
151,14.0,14
152,17.0,17
153,10.0,10
154,15.0,15
155,10.0,10
156,14.0,14
157,22.0,22
158,12.0,12
159,11.0,11
160,34.0,34
161,11.0,11
162,12.0,12
163,18.0,18
164,9.0,9
165,17.0,17
166,16.0,16
167,10.0,10
168,17.0,17
169,11.0,11
170,21.0,21
171,15.0,15
172,17.0,17
173,11.0,11
174,23.0,23
175,10.0,10
176,25.0,25
177,12.0,12
178,10.0,10
179,16.0,16
180,14.0,14
181,21.0,21
182,11.0,11
183,12.0,12
184,11.0,11
185,10.0,10
186,11.0,11
187,17.0,17
188,10.0,10
189,14.0,14
190,11.0,11
191,12.0,12
192,9.0,9
193,11.0,11
194,11.0,11
195,16.0,16
196,15.0,15
197,10.0,10
198,9.0,9
199,17.0,17
200,12.0,12
201,9.0,9
202,11.0,11
203,9.0,9
204,9.0,9
205,16.0,16
206,15.0,15
207,13.0,13
208,11.0,11
209,13.0,13
210,17.0,17
211,8.0,8
212,8.0,8
213,12.0,12
214,15.0,15
215,13.0,13
216,14.0,14
217,11.0,11
218,14.0,14
219,13.0,13
220,12.0,12
221,9.0,9
222,10.0,10
223,10.0,10
224,11.0,11
225,9.0,9
226,16.0,16
227,23.0,23
228,13.0,13
229,16.0,16
230,9.0,9
231,12.0,12
232,11.0,11
233,10.0,10
234,13.0,13
235,15.0,15
236,12.0,12
237,11.0,11
238,9.0,9
239,11.0,11
240,11.0,11
241,11.0,11
242,12.0,12
243,8.0,8
244,8.0,8
245,10.0,10
246,12.0,12
247,12.0,12
248,9.0,9
249,12.0,12
250,13.0,13
251,11.0,11
252,12.0,12
253,10.0,10
254,10.0,10
255,11.0,11
256,17.0,17
257,11.0,11
258,14.0,14
259,12.0,12
260,10.0,10
261,11.0,11
262,16.0,16
263,13.0,13
264,13.0,13
265,15.0,15
266,11.0,11
267,8.0,8
268,13.0,13
269,15.0,15
270,11.0,11
271,9.0,9
272,10.0,10
273,11.0,11
274,11.0,11
275,9.0,9
276,18.0,18
277,13.0,13
278,11.0,11
279,14.0,14
280,12.0,12
281,16.0,16
282,10.0,10
283,12.0,12
284,13.0,13
285,9.0,9
286,14.0,14
287,26.0,26
288,9.0,9
289,10.0,10
290,12.0,12
291,13.0,13
292,8.0,8
293,13.0,13
294,12.0,12
295,11.0,11
296,14.0,14
297,10.0,10
298,11.0,11
299,12.0,12
300,9.0,9
301,11.0,11
302,11.0,11
303,15.0,15
304,11.0,11
305,11.0,11
306,13.0,13
307,8.0,8
308,9.0,9
309,10.0,10
310,12.0,12
311,13.0,13
312,9.0,9
313,15.0,15
314,11.0,11
315,12.0,12
316,12.0,12
317,15.0,15
318,13.0,13
319,8.0,8
320,16.0,16
321,9.0,9
322,11.0,11
323,12.0,12
324,16.0,16
325,9.0,9
326,13.0,13
327,13.0,13
328,15.0,15
329,12.0,12
330,12.0,12
331,8.0,8
332,11.0,11
333,15.0,15
334,12.0,12
335,11.0,11
336,13.0,13
337,13.0,13
338,16.0,16
339,11.0,11
340,8.0,8
341,10.0,10
342,14.0,14
343,18.0,18
344,11.0,11
345,10.0,10
346,11.0,11
347,11.0,11
348,20.0,20
349,14.0,14
350,10.0,10
351,14.0,14
352,9.0,9
353,9.0,9
354,12.0,12
355,9.0,9
356,10.0,10
357,9.0,9
358,10.0,10
359,10.0,10
360,22.0,22
361,11.0,11
362,12.0,12
363,11.0,11
364,8.0,8
365,24.0,24
366,11.0,11
367,10.0,10
368,10.0,10
369,10.0,10
370,10.0,10
371,9.0,9
372,9.0,9
373,21.0,21
374,10.0,10
375,12.0,12
376,14.0,14
377,15.0,15
378,10.0,10
379,17.0,17
380,8.0,8
381,14.0,14
382,11.0,11
383,9.0,9
384,10.0,10
385,9.0,9
386,15.0,15
387,11.0,11
388,17.0,17
389,12.0,12
390,11.0,11
391,15.0,15
392,10.0,10
393,13.0,13
394,12.0,12
395,10.0,10
396,12.0,12
397,9.0,9
398,14.0,14
399,9.0,9
400,13.0,13
401,10.0,10
402,13.0,13
403,16.0,16
404,9.0,9
405,8.0,8
406,11.0,11
407,9.0,9
408,15.0,15
409,12.0,12
410,15.0,15
411,15.0,15
412,15.0,15
413,14.0,14
414,12.0,12
415,11.0,11
416,14.0,14
417,12.0,12
418,14.0,14
419,11.0,11
420,8.0,8
421,9.0,9
422,13.0,13
423,13.0,13
424,8.0,8
425,10.0,10
426,10.0,10
427,15.0,15
428,14.0,14
429,9.0,9
430,12.0,12
431,13.0,13
432,12.0,12
433,10.0,10
434,14.0,14
435,11.0,11
436,12.0,12
437,14.0,14
