episodes,rewards,steps
0,19.0,0
1,16.0,0
2,17.0,0
3,11.0,0
4,10.0,0
5,27.0,0
6,55.0,0
7,17.0,0
8,23.0,0
9,9.0,0
10,17.0,0
11,14.0,0
12,17.0,0
13,12.0,0
14,14.0,0
15,16.0,0
16,27.0,0
17,36.0,0
18,17.0,0
19,17.0,0
20,21.0,0
21,23.0,0
22,13.0,0
23,12.0,0
24,17.0,0
25,26.0,0
26,25.0,0
27,17.0,0
28,10.0,0
29,16.0,0
30,14.0,0
31,19.0,0
32,23.0,0
33,37.0,0
34,29.0,0
35,22.0,0
36,29.0,0
37,15.0,0
38,16.0,0
39,18.0,0
40,23.0,0
41,16.0,0
42,26.0,0
43,13.0,0
44,24.0,0
45,39.0,0
46,23.0,0
47,32.0,0
48,123.0,0
49,18.0,0
50,39.0,0
51,17.0,0
52,28.0,0
53,34.0,0
54,26.0,0
55,61.0,0
56,28.0,0
57,16.0,0
58,45.0,0
59,41.0,0
60,49.0,0
61,18.0,0
62,40.0,0
63,24.0,0
64,37.0,0
65,26.0,0
66,51.0,0
67,17.0,0
68,152.0,0
69,17.0,0
70,29.0,0
71,37.0,0
72,15.0,0
73,55.0,0
74,152.0,0
75,23.0,0
76,45.0,0
77,30.0,0
78,39.0,0
79,20.0,0
80,53.0,0
81,49.0,0
82,71.0,0
83,115.0,0
84,41.0,0
85,52.0,0
86,52.0,0
87,36.0,0
88,84.0,0
89,122.0,0
90,49.0,0
91,200.0,0
92,67.0,0
93,87.0,0
94,183.0,0
95,132.0,0
96,76.0,0
97,200.0,0
98,200.0,0
99,200.0,0
100,200.0,0
101,200.0,0
102,106.0,0
103,192.0,0
104,111.0,0
105,95.0,0
106,200.0,0
107,200.0,0
108,148.0,0
109,200.0,0
110,97.0,0
111,200.0,0
112,200.0,0
113,105.0,0
114,135.0,0
115,200.0,0
116,144.0,0
117,156.0,0
118,200.0,0
119,200.0,0
120,166.0,0
121,200.0,0
122,200.0,0
123,200.0,0
124,200.0,0
125,200.0,0
126,200.0,0
127,158.0,0
128,139.0,0
129,200.0,0
130,200.0,0
131,200.0,0
132,200.0,0
133,122.0,0
134,200.0,0
135,188.0,0
136,200.0,0
137,183.0,0
138,200.0,0
139,200.0,0
140,200.0,0
141,200.0,0
142,200.0,0
143,158.0,0
144,200.0,0
145,200.0,0
146,200.0,0
147,191.0,0
148,200.0,0
149,194.0,0
150,178.0,0
151,200.0,0
152,200.0,0
153,200.0,0
154,162.0,0
155,200.0,0
156,200.0,0
157,128.0,0
158,200.0,0
159,184.0,0
160,194.0,0
161,200.0,0
162,200.0,0
163,200.0,0
164,200.0,0
165,160.0,0
166,163.0,0
167,200.0,0
168,200.0,0
169,200.0,0
170,141.0,0
171,200.0,0
172,200.0,0
173,200.0,0
174,200.0,0
175,200.0,0
176,200.0,0
177,157.0,0
178,164.0,0
179,200.0,0
180,200.0,0
181,200.0,0
182,200.0,0
183,200.0,0
184,200.0,0
185,193.0,0
186,182.0,0
187,200.0,0
188,200.0,0
189,200.0,0
190,200.0,0
191,200.0,0
192,174.0,0
193,178.0,0
194,200.0,0
195,200.0,0
196,200.0,0
197,200.0,0
198,200.0,0
199,200.0,0
