2022-11-06 01:05:04 - r - INFO: - n_states: 4, n_actions: 9
2022-11-06 01:05:04 - r - INFO: - Start training!
2022-11-06 01:05:04 - r - INFO: - Env: Racetrack-v0, Algorithm: FirstVisitMC, Device: cpu
2022-11-06 01:05:40 - r - INFO: - Episode: 1/200, Reward: -760.000, Step: 200
2022-11-06 01:05:58 - r - INFO: - Episode: 2/200, Reward: -560.000, Step: 200
2022-11-06 01:05:59 - r - INFO: - Episode: 3/200, Reward: -156.000, Step: 66
2022-11-06 01:06:17 - r - INFO: - Episode: 4/200, Reward: -500.000, Step: 200
2022-11-06 01:06:38 - r - INFO: - Episode: 5/200, Reward: -600.000, Step: 200
2022-11-06 01:06:38 - r - INFO: - Current episode 5 has the best eval reward: -208.000
2022-11-06 01:06:52 - r - INFO: - Episode: 6/200, Reward: -350.000, Step: 200
2022-11-06 01:07:07 - r - INFO: - Episode: 7/200, Reward: -430.000, Step: 200
2022-11-06 01:07:10 - r - INFO: - Episode: 8/200, Reward: -206.000, Step: 96
2022-11-06 01:07:31 - r - INFO: - Episode: 9/200, Reward: -460.000, Step: 200
2022-11-06 01:07:45 - r - INFO: - Episode: 10/200, Reward: -410.000, Step: 200
2022-11-06 01:07:45 - r - INFO: - Current episode 10 has the best eval reward: -204.000
2022-11-06 01:07:58 - r - INFO: - Episode: 11/200, Reward: -400.000, Step: 200
2022-11-06 01:08:08 - r - INFO: - Episode: 12/200, Reward: -380.000, Step: 200
2022-11-06 01:08:09 - r - INFO: - Episode: 13/200, Reward: -155.000, Step: 75
2022-11-06 01:08:24 - r - INFO: - Episode: 14/200, Reward: -400.000, Step: 200
2022-11-06 01:08:37 - r - INFO: - Episode: 15/200, Reward: -350.000, Step: 200
2022-11-06 01:08:37 - r - INFO: - Current episode 15 has the best eval reward: -203.000
2022-11-06 01:08:51 - r - INFO: - Episode: 16/200, Reward: -400.000, Step: 200
2022-11-06 01:09:05 - r - INFO: - Episode: 17/200, Reward: -360.000, Step: 200
2022-11-06 01:09:23 - r - INFO: - Episode: 18/200, Reward: -420.000, Step: 200
2022-11-06 01:09:37 - r - INFO: - Episode: 19/200, Reward: -430.000, Step: 200
2022-11-06 01:09:48 - r - INFO: - Episode: 20/200, Reward: -360.000, Step: 200
2022-11-06 01:09:48 - r - INFO: - Current episode 20 has the best eval reward: -187.300
2022-11-06 01:10:08 - r - INFO: - Episode: 21/200, Reward: -420.000, Step: 200
2022-11-06 01:10:19 - r - INFO: - Episode: 22/200, Reward: -390.000, Step: 200
2022-11-06 01:10:19 - r - INFO: - Episode: 23/200, Reward: -59.000, Step: 49
2022-11-06 01:10:33 - r - INFO: - Episode: 24/200, Reward: -390.000, Step: 200
2022-11-06 01:10:33 - r - INFO: - Episode: 25/200, Reward: 2.000, Step: 8
2022-11-06 01:10:36 - r - INFO: - Episode: 26/200, Reward: -217.000, Step: 117
2022-11-06 01:10:43 - r - INFO: - Episode: 27/200, Reward: -287.000, Step: 167
2022-11-06 01:10:47 - r - INFO: - Episode: 28/200, Reward: -248.000, Step: 118
2022-11-06 01:11:04 - r - INFO: - Episode: 29/200, Reward: -370.000, Step: 200
2022-11-06 01:11:19 - r - INFO: - Episode: 30/200, Reward: -390.000, Step: 200
2022-11-06 01:11:32 - r - INFO: - Episode: 31/200, Reward: -370.000, Step: 200
2022-11-06 01:11:39 - r - INFO: - Episode: 32/200, Reward: -360.000, Step: 200
2022-11-06 01:11:57 - r - INFO: - Episode: 33/200, Reward: -420.000, Step: 200
2022-11-06 01:12:16 - r - INFO: - Episode: 34/200, Reward: -430.000, Step: 200
2022-11-06 01:12:34 - r - INFO: - Episode: 35/200, Reward: -430.000, Step: 200
2022-11-06 01:12:55 - r - INFO: - Episode: 36/200, Reward: -430.000, Step: 200
2022-11-06 01:13:09 - r - INFO: - Episode: 37/200, Reward: -380.000, Step: 200
2022-11-06 01:13:27 - r - INFO: - Episode: 38/200, Reward: -420.000, Step: 200
2022-11-06 01:13:40 - r - INFO: - Episode: 39/200, Reward: -350.000, Step: 200
