episodes,rewards,steps
0,-760,200
1,-560,200
2,-156,66
3,-500,200
4,-600,200
5,-350,200
6,-430,200
7,-206,96
8,-460,200
9,-410,200
10,-400,200
11,-380,200
12,-155,75
13,-400,200
14,-350,200
15,-400,200
16,-360,200
17,-420,200
18,-430,200
19,-360,200
20,-420,200
21,-390,200
22,-59,49
23,-390,200
24,2,8
25,-217,117
26,-287,167
27,-248,118
28,-370,200
29,-390,200
30,-370,200
31,-360,200
32,-420,200
33,-430,200
34,-430,200
35,-430,200
36,-380,200
37,-420,200
38,-350,200
39,-370,200
40,-400,200
41,-410,200
42,-360,200
43,-16,16
44,-23,13
45,-390,200
46,-390,200
47,-109,79
48,-300,200
49,-370,200
50,-460,200
51,-350,200
52,-320,200
53,-310,200
54,-390,200
55,-370,200
56,-390,200
57,-350,200
58,-123,73
59,-204,124
60,-39,29
61,-155,85
62,-108,58
63,-249,169
64,-170,100
65,1,9
66,-23,23
67,-104,74
68,-223,123
69,-350,200
70,-124,104
71,-20,20
72,-360,200
73,-67,37
74,-360,200
75,-71,41
76,-23,23
77,-41,21
78,-1,11
79,-270,200
80,-330,200
81,-290,200
82,-2,12
83,-300,200
84,-380,200
85,-47,37
86,-350,200
87,-308,188
88,-370,200
89,-214,154
90,-290,200
91,-370,200
92,-32,22
93,-400,200
94,-217,127
95,-330,200
96,-380,200
97,-320,200
98,-300,200
99,-350,200
100,-400,200
101,-330,200
102,-360,200
103,-380,200
104,-400,200
105,-290,200
106,-203,103
107,-74,54
108,-330,200
109,-380,200
110,-263,173
111,-290,200
112,-340,200
113,-86,66
114,-340,200
115,-160,110
116,-340,200
117,-320,200
118,-320,200
119,-360,200
120,-330,200
121,-350,200
122,-300,200
123,-320,200
124,-70,40
125,-59,39
126,-340,200
127,-87,77
128,-330,200
129,-260,200
130,-290,200
131,-330,200
132,-340,200
133,-78,48
134,-390,200
135,-320,200
136,-360,200
137,-340,200
138,-185,115
139,-340,200
140,-250,200
141,-347,197
142,-320,200
143,-330,200
144,-270,200
145,-380,200
146,-320,200
147,-340,200
148,-310,200
149,-290,200
150,-380,200
151,-281,181
152,-30,30
153,-280,200
154,-300,200
155,-300,200
156,-300,200
157,-370,200
158,-320,200
159,-250,200
160,-370,200
161,-290,200
162,-320,200
163,-290,200
164,-44,44
165,-216,196
166,-340,200
167,-360,200
168,-310,200
169,-320,200
170,-280,200
171,-290,200
172,-280,200
173,-300,200
174,-350,200
175,-320,200
176,-320,200
177,-320,200
178,-300,200
179,-117,87
180,-158,88
181,-300,200
182,-290,200
183,-350,200
184,-310,200
185,-58,38
186,-290,200
187,-310,200
188,-350,200
189,-300,200
190,-380,200
191,-230,200
192,-26,26
193,-340,200
194,-280,200
195,-106,66
196,-7,17
197,-248,178
198,-161,101
199,-3,13
