episodes,rewards,steps
0,18.0,18
1,35.0,35
2,13.0,13
3,20.0,20
4,24.0,24
5,10.0,10
6,20.0,20
7,19.0,19
8,30.0,30
9,10.0,10
10,16.0,16
11,16.0,16
12,12.0,12
13,28.0,28
14,22.0,22
15,14.0,14
16,9.0,9
17,13.0,13
18,19.0,19
19,10.0,10
20,10.0,10
21,12.0,12
22,9.0,9
23,12.0,12
24,11.0,11
25,11.0,11
26,13.0,13
27,11.0,11
28,13.0,13
29,20.0,20
30,16.0,16
31,9.0,9
32,16.0,16
33,15.0,15
34,12.0,12
35,12.0,12
36,16.0,16
37,13.0,13
38,18.0,18
39,18.0,18
40,48.0,48
41,52.0,52
42,33.0,33
43,15.0,15
44,18.0,18
45,22.0,22
46,19.0,19
47,19.0,19
48,11.0,11
49,9.0,9
50,10.0,10
51,10.0,10
52,10.0,10
53,10.0,10
54,9.0,9
55,17.0,17
56,75.0,75
57,28.0,28
58,30.0,30
59,54.0,54
60,22.0,22
61,28.0,28
62,26.0,26
63,32.0,32
64,30.0,30
65,29.0,29
66,28.0,28
67,38.0,38
68,28.0,28
69,22.0,22
70,40.0,40
71,27.0,27
72,24.0,24
73,47.0,47
74,127.0,127
75,48.0,48
76,27.0,27
77,65.0,65
78,75.0,75
79,47.0,47
80,34.0,34
81,38.0,38
82,24.0,24
83,47.0,47
84,35.0,35
85,103.0,103
86,64.0,64
87,59.0,59
88,200.0,200
89,200.0,200
90,200.0,200
91,200.0,200
92,200.0,200
93,200.0,200
94,200.0,200
95,200.0,200
96,200.0,200
97,200.0,200
98,200.0,200
99,200.0,200
100,200.0,200
101,200.0,200
102,200.0,200
103,200.0,200
104,200.0,200
105,200.0,200
106,200.0,200
107,200.0,200
108,200.0,200
109,200.0,200
110,200.0,200
111,200.0,200
112,200.0,200
113,200.0,200
114,200.0,200
115,200.0,200
116,200.0,200
117,200.0,200
118,200.0,200
119,200.0,200
120,200.0,200
121,200.0,200
122,200.0,200
123,200.0,200
124,200.0,200
125,200.0,200
126,200.0,200
127,200.0,200
128,200.0,200
129,200.0,200
130,200.0,200
131,200.0,200
132,200.0,200
133,200.0,200
134,200.0,200
135,200.0,200
136,185.0,185
137,193.0,193
138,192.0,192
139,200.0,200
140,200.0,200
141,200.0,200
142,200.0,200
143,191.0,191
144,200.0,200
145,184.0,184
146,198.0,198
147,200.0,200
148,200.0,200
149,192.0,192
150,186.0,186
151,200.0,200
152,194.0,194
153,199.0,199
154,183.0,183
155,173.0,173
156,197.0,197
157,200.0,200
158,200.0,200
159,196.0,196
160,200.0,200
161,200.0,200
162,194.0,194
163,185.0,185
164,173.0,173
165,192.0,192
166,164.0,164
167,188.0,188
168,189.0,189
169,197.0,197
170,187.0,187
171,200.0,200
172,195.0,195
173,200.0,200
174,195.0,195
175,200.0,200
176,200.0,200
177,200.0,200
178,200.0,200
179,200.0,200
180,200.0,200
181,200.0,200
182,200.0,200
183,200.0,200
184,173.0,173
185,200.0,200
186,200.0,200
187,200.0,200
188,200.0,200
189,200.0,200
190,200.0,200
191,200.0,200
192,200.0,200
193,200.0,200
194,200.0,200
195,200.0,200
196,200.0,200
197,200.0,200
198,200.0,200
199,200.0,200
