episodes,rewards
0,26.0
1,53.0
2,10.0
3,37.0
4,22.0
5,21.0
6,12.0
7,34.0
8,93.0
9,36.0
10,29.0
11,18.0
12,14.0
13,62.0
14,20.0
15,40.0
16,10.0
17,10.0
18,10.0
19,11.0
20,10.0
21,14.0
22,12.0
23,8.0
24,19.0
25,33.0
26,22.0
27,32.0
28,16.0
29,24.0
30,24.0
31,24.0
32,75.0
33,33.0
34,33.0
35,72.0
36,110.0
37,48.0
38,60.0
39,43.0
40,61.0
41,34.0
42,50.0
43,61.0
44,53.0
45,58.0
46,36.0
47,44.0
48,42.0
49,64.0
50,67.0
51,52.0
52,39.0
53,42.0
54,40.0
55,33.0
56,200.0
57,199.0
58,149.0
59,185.0
60,134.0
61,174.0
62,162.0
63,200.0
64,93.0
65,72.0
66,69.0
67,51.0
68,62.0
69,98.0
70,73.0
71,73.0
72,200.0
73,200.0
74,200.0
75,200.0
76,200.0
77,200.0
78,200.0
79,133.0
80,200.0
81,200.0
82,200.0
83,200.0
84,200.0
85,200.0
86,200.0
87,200.0
88,114.0
89,151.0
90,129.0
91,156.0
92,112.0
93,172.0
94,171.0
95,141.0
96,200.0
97,200.0
98,200.0
99,200.0
100,200.0
101,200.0
102,200.0
103,200.0
104,188.0
105,199.0
106,138.0
107,200.0
108,200.0
109,181.0
110,145.0
111,200.0
112,135.0
113,119.0
114,112.0
115,122.0
116,118.0
117,119.0
118,131.0
119,119.0
120,109.0
121,96.0
122,105.0
123,29.0
124,110.0
125,113.0
126,18.0
127,90.0
128,145.0
129,152.0
130,151.0
131,109.0
132,141.0
133,109.0
134,136.0
135,143.0
136,200.0
137,200.0
138,200.0
139,200.0
140,200.0
141,200.0
142,200.0
143,200.0
144,192.0
145,173.0
146,180.0
147,182.0
148,186.0
149,175.0
150,176.0
151,191.0
152,200.0
153,200.0
154,200.0
155,200.0
156,200.0
157,200.0
158,200.0
159,200.0
160,200.0
161,200.0
162,200.0
163,200.0
164,200.0
165,200.0
166,200.0
167,200.0
168,200.0
169,200.0
170,200.0
171,200.0
172,200.0
173,200.0
174,200.0
175,200.0
176,200.0
177,200.0
178,200.0
179,200.0
180,200.0
181,200.0
182,200.0
183,200.0
184,200.0
185,200.0
186,200.0
187,200.0
188,200.0
189,200.0
190,200.0
191,200.0
192,200.0
193,200.0
194,200.0
195,200.0
196,200.0
197,200.0
198,200.0
199,200.0
