episodes,rewards,steps
0,-1586,200
1,-1091,200
2,-596,200
3,-497,200
4,-398,200
5,-362,164
6,-179,179
7,-398,200
8,-79,79
9,-141,141
10,-143,143
11,-134,134
12,-299,200
13,-102,102
14,-61,61
15,-136,136
16,-176,176
17,-98,98
18,-92,92
19,-110,110
20,-67,67
21,-136,136
22,-98,98
23,-164,164
24,-65,65
25,-98,98
26,-33,33
27,-161,161
28,-72,72
29,-73,73
30,-116,116
31,-50,50
32,-66,66
33,-123,123
34,-40,40
35,-100,100
36,-56,56
37,-101,101
38,-55,55
39,-84,84
40,-68,68
41,-33,33
42,-113,113
43,-72,72
44,-36,36
45,-84,84
46,-45,45
47,-86,86
48,-57,57
49,-92,92
50,-39,39
51,-76,76
52,-39,39
53,-47,47
54,-88,88
55,-40,40
56,-55,55
57,-69,69
58,-51,51
59,-69,69
60,-36,36
61,-84,84
62,-38,38
63,-56,56
64,-58,58
65,-27,27
66,-64,64
67,-38,38
68,-53,53
69,-70,70
70,-40,40
71,-47,47
72,-71,71
73,-47,47
74,-32,32
75,-70,70
76,-36,36
77,-36,36
78,-73,73
79,-18,18
80,-67,67
81,-29,29
82,-25,25
83,-64,64
84,-28,28
85,-61,61
86,-33,33
87,-30,30
88,-25,25
89,-86,86
90,-19,19
91,-53,53
92,-39,39
93,-39,39
94,-36,36
95,-45,45
96,-43,43
97,-31,31
98,-37,37
99,-43,43
100,-46,46
101,-28,28
102,-32,32
103,-47,47
104,-37,37
105,-39,39
106,-38,38
107,-29,29
108,-44,44
109,-39,39
110,-26,26
111,-28,28
112,-63,63
113,-18,18
114,-52,52
115,-24,24
116,-26,26
117,-39,39
118,-21,21
119,-44,44
120,-48,48
121,-24,24
122,-40,40
123,-31,31
124,-23,23
125,-35,35
126,-26,26
127,-31,31
128,-33,33
129,-32,32
130,-36,36
131,-21,21
132,-43,43
133,-51,51
134,-17,17
135,-28,28
136,-24,24
137,-42,42
138,-21,21
139,-24,24
140,-30,30
141,-24,24
142,-36,36
143,-14,14
144,-42,42
145,-44,44
146,-25,25
147,-42,42
148,-16,16
149,-30,30
150,-32,32
151,-20,20
152,-44,44
153,-20,20
154,-29,29
155,-20,20
156,-30,30
157,-18,18
158,-25,25
159,-38,38
160,-34,34
161,-25,25
162,-30,30
163,-24,24
164,-19,19
165,-34,34
166,-15,15
167,-27,27
168,-22,22
169,-28,28
170,-13,13
171,-20,20
172,-58,58
173,-18,18
174,-19,19
175,-29,29
176,-125,26
177,-156,57
178,-18,18
179,-25,25
180,-27,27
181,-21,21
182,-22,22
183,-21,21
184,-22,22
185,-25,25
186,-25,25
187,-27,27
188,-19,19
189,-26,26
190,-17,17
191,-21,21
192,-30,30
193,-16,16
194,-35,35
195,-21,21
196,-134,35
197,-21,21
198,-18,18
199,-27,27
200,-16,16
201,-44,44
202,-23,23
203,-23,23
204,-16,16
205,-18,18
206,-17,17
207,-18,18
208,-16,16
209,-13,13
210,-19,19
211,-26,26
212,-27,27
213,-133,34
214,-21,21
215,-24,24
216,-29,29
217,-24,24
218,-16,16
219,-16,16
220,-24,24
221,-17,17
222,-143,44
223,-15,15
224,-15,15
225,-23,23
226,-21,21
227,-26,26
228,-16,16
229,-19,19
230,-13,13
231,-19,19
232,-29,29
233,-26,26
234,-30,30
235,-13,13
236,-13,13
237,-21,21
238,-15,15
239,-18,18
240,-13,13
241,-16,16
242,-27,27
243,-17,17
244,-27,27
245,-15,15
246,-14,14
247,-28,28
248,-17,17
249,-15,15
250,-17,17
251,-19,19
252,-13,13
253,-23,23
254,-15,15
255,-15,15
256,-19,19
257,-15,15
258,-22,22
259,-13,13
260,-16,16
261,-15,15
262,-34,34
263,-16,16
264,-26,26
265,-13,13
266,-15,15
267,-15,15
268,-18,18
269,-18,18
270,-13,13
271,-13,13
272,-19,19
273,-13,13
274,-27,27
275,-13,13
276,-13,13
277,-22,22
278,-17,17
279,-17,17
280,-13,13
281,-26,26
282,-13,13
283,-13,13
284,-14,14
285,-15,15
286,-13,13
287,-13,13
288,-14,14
289,-24,24
290,-21,21
291,-13,13
292,-13,13
293,-14,14
294,-15,15
295,-13,13
296,-13,13
297,-13,13
298,-14,14
299,-21,21
300,-15,15
301,-13,13
302,-13,13
303,-21,21
304,-13,13
305,-22,22
306,-13,13
307,-13,13
308,-16,16
309,-15,15
310,-13,13
311,-31,31
312,-13,13
313,-13,13
314,-15,15
315,-13,13
316,-13,13
317,-13,13
318,-14,14
319,-13,13
320,-15,15
321,-13,13
322,-13,13
323,-13,13
324,-16,16
325,-13,13
326,-13,13
327,-13,13
328,-13,13
329,-13,13
330,-13,13
331,-15,15
332,-16,16
333,-13,13
334,-13,13
335,-13,13
336,-13,13
337,-13,13
338,-15,15
339,-13,13
340,-13,13
341,-13,13
342,-13,13
343,-13,13
344,-13,13
345,-13,13
346,-22,22
347,-13,13
348,-13,13
349,-13,13
350,-17,17
351,-13,13
352,-13,13
353,-13,13
354,-13,13
355,-13,13
356,-13,13
357,-13,13
358,-13,13
359,-13,13
360,-13,13
361,-13,13
362,-13,13
363,-13,13
364,-13,13
365,-13,13
366,-13,13
367,-13,13
368,-13,13
369,-13,13
370,-13,13
371,-13,13
372,-13,13
373,-13,13
374,-13,13
375,-13,13
376,-21,21
377,-123,24
378,-13,13
379,-14,14
380,-13,13
381,-13,13
382,-13,13
383,-13,13
384,-13,13
385,-13,13
386,-13,13
387,-13,13
388,-13,13
389,-13,13
390,-13,13
391,-13,13
392,-13,13
393,-13,13
394,-13,13
395,-13,13
396,-15,15
397,-13,13
398,-13,13
399,-13,13
400,-14,14
401,-13,13
402,-13,13
403,-13,13
404,-13,13
405,-13,13
406,-13,13
407,-13,13
408,-13,13
409,-13,13
410,-13,13
411,-13,13
412,-13,13
413,-13,13
414,-13,13
415,-13,13
416,-13,13
417,-13,13
418,-13,13
419,-113,14
420,-13,13
421,-13,13
422,-13,13
423,-13,13
424,-13,13
425,-13,13
426,-13,13
427,-115,16
428,-13,13
429,-13,13
430,-13,13
431,-13,13
432,-13,13
433,-13,13
434,-15,15
435,-13,13
436,-13,13
