episodes,rewards,steps
0,-850,200
1,-780,200
2,-730,200
3,-650,200
4,-540,200
5,-640,200
6,-570,200
7,-570,200
8,-550,200
9,-550,200
10,-580,200
11,-530,200
12,-580,200
13,-570,200
14,-550,200
15,-560,200
16,-550,200
17,-580,200
18,-520,200
19,-490,200
20,-480,200
21,-540,200
22,-550,200
23,-560,200
24,-510,200
25,-520,200
26,-480,200
27,-520,200
28,-480,200
29,-470,200
30,-540,200
31,-540,200
32,-470,200
33,-540,200
34,-490,200
35,-530,200
36,-520,200
37,-510,200
38,-520,200
39,-510,200
40,-480,200
41,-510,200
42,-470,200
43,-490,200
44,-490,200
45,-490,200
46,-520,200
47,-530,200
48,-510,200
49,-460,200
50,-500,200
51,-470,200
52,-520,200
53,-490,200
54,-500,200
55,-460,200
56,-490,200
57,-510,200
58,-460,200
59,-530,200
60,-440,200
61,-510,200
62,-520,200
63,-510,200
64,-460,200
65,-344,154
66,-500,200
67,-490,200
68,-490,200
69,-440,200
70,-77,47
71,-198,88
72,-440,200
73,-480,200
74,-354,154
75,-470,200
76,-480,200
77,-38,28
78,-460,200
79,-480,200
80,-490,200
81,-140,70
82,-102,52
83,-265,125
84,-145,75
85,-460,200
86,-500,200
87,-470,200
88,-325,155
89,-470,200
90,-376,156
91,-98,58
92,-130,70
93,-450,200
94,-146,66
95,2,8
96,-18,18
97,-102,52
98,-163,73
99,-209,89
100,-460,200
101,-286,126
102,-189,89
103,-50,30
104,-398,168
105,-72,32
106,-450,200
107,-125,65
108,4,6
109,-161,71
110,-408,178
111,-440,200
112,-188,78
113,-114,64
114,-415,185
115,-159,69
116,-234,104
117,-31,21
118,3,7
119,4,6
120,-63,33
121,5,5
122,-47,27
123,-16,16
124,-49,29
125,-87,47
126,-2,12
127,-26,16
128,-238,108
129,-18,18
130,-235,105
131,-13,13
132,-135,65
133,-20,20
134,-46,26
135,-66,36
136,-45,25
137,-14,14
138,1,9
139,-106,56
140,-112,62
141,-47,27
142,1,9
143,-30,20
144,-147,77
145,5,5
146,-30,20
147,-167,77
148,1,9
149,-72,32
150,-44,24
151,-76,46
152,-63,33
153,-34,24
154,5,5
155,5,5
156,-26,16
157,-80,40
158,-168,78
159,-164,74
160,1,9
161,-19,19
162,-12,12
163,-44,24
164,-80,40
165,5,5
166,4,6
167,-29,19
168,-56,26
169,-47,27
170,-76,46
171,-13,13
172,-145,65
173,-28,18
174,-63,33
175,-106,56
176,3,7
177,-28,28
178,-60,30
179,-49,29
180,-52,32
181,-84,44
182,5,5
183,-55,35
184,-14,14
185,1,9
186,-39,19
187,-47,27
188,-13,13
189,-53,33
190,-50,30
191,-104,54
192,-253,113
193,-48,28
194,-190,90
195,-43,23
196,-35,25
197,0,10
198,5,5
199,-11,11
200,5,5
201,-16,16
202,-99,49
203,-22,22
204,-170,80
205,-109,59
206,-48,28
207,-275,115
208,-49,29
209,-147,77
210,-51,31
211,-67,37
212,4,6
213,-17,17
214,3,7
215,-69,39
216,-218,88
217,-63,33
218,-11,11
219,-34,24
220,-32,22
221,-15,15
222,-26,16
223,-19,19
224,-148,78
225,-19,19
226,1,9
227,-49,29
228,5,5
229,3,7
230,-223,103
231,-14,14
232,4,6
233,5,5
234,2,8
235,5,5
236,4,6
237,3,7
238,3,7
239,4,6
240,-44,24
241,-10,10
242,2,8
243,-108,58
244,4,6
245,-27,17
246,3,7
247,5,5
248,5,5
249,3,7
250,-15,15
251,-28,28
252,-112,52
253,-39,29
254,4,6
255,-48,28
256,-149,69
257,-27,17
258,-33,23
259,-30,20
260,-29,19
261,4,6
262,4,6
263,3,7
264,3,7
265,4,6
266,5,5
267,-52,42
268,-53,33
269,-62,42
270,5,5
271,4,6
272,4,6
273,-10,10
274,-8,8
275,-30,20
276,-25,15
277,-45,35
278,-48,28
279,-15,15
280,4,6
281,-14,14
282,-26,16
283,-116,56
284,5,5
285,-14,14
286,-42,22
287,3,7
288,-31,21
289,4,6
290,-25,25
291,5,5
292,-43,23
293,-21,21
294,-33,23
295,-12,12
296,-28,18
297,3,7
298,0,10
299,4,6
300,-6,16
301,4,6
302,2,8
303,-12,12
304,4,6
305,-77,47
306,5,5
307,-32,22
308,5,5
309,-12,12
310,-36,26
311,4,6
312,4,6
313,-34,24
314,4,6
315,-21,21
316,-48,28
317,4,6
318,5,5
319,-25,15
320,4,6
321,-14,14
322,-135,65
323,3,7
324,5,5
325,4,6
326,3,7
327,-11,11
328,3,7
329,-11,11
330,3,7
331,4,6
332,3,7
333,5,5
334,-12,12
335,-22,22
336,-16,16
337,-17,17
338,-14,14
339,3,7
340,5,5
341,-15,15
342,-13,13
343,4,6
344,-90,40
345,3,7
346,3,7
347,-53,33
348,-87,47
349,-22,22
350,5,5
351,-12,12
352,3,7
353,4,6
354,-113,53
355,3,7
356,3,7
357,-13,13
358,-15,15
359,-14,14
360,2,8
361,-15,15
362,-63,33
363,-14,14
364,-15,15
365,3,7
366,3,7
367,4,6
368,4,6
369,4,6
370,3,7
371,-13,13
372,-12,12
373,-30,20
374,3,7
375,2,8
376,-13,13
377,5,5
378,-31,21
379,3,7
380,2,8
381,4,6
382,4,6
383,-84,44
384,3,7
385,-27,17
386,4,6
387,4,6
388,4,6
389,2,8
390,2,8
391,3,7
392,4,6
393,4,6
394,-18,18
395,-13,13
396,-41,31
397,5,5
398,-41,31
399,-13,13
