episodes,rewards,steps
0,-1091,200
1,-320,122
2,-794,200
3,-596,200
4,-398,200
5,-59,59
6,-299,200
7,-82,82
8,-125,125
9,-75,75
10,-285,186
11,-103,103
12,-103,103
13,-131,131
14,-53,53
15,-113,113
16,-125,125
17,-95,95
18,-97,97
19,-145,145
20,-89,89
21,-97,97
22,-115,115
23,-121,121
24,-53,53
25,-111,111
26,-97,97
27,-206,107
28,-147,147
29,-36,36
30,-216,117
31,-103,103
32,-87,87
33,-80,80
34,-73,73
35,-83,83
36,-143,44
37,-241,142
38,-77,77
39,-49,49
40,-87,87
41,-47,47
42,-89,89
43,-31,31
44,-192,93
45,-85,85
46,-55,55
47,-59,59
48,-60,60
49,-50,50
50,-23,23
51,-101,101
52,-43,43
53,-70,70
54,-35,35
55,-47,47
56,-80,80
57,-61,61
58,-35,35
59,-73,73
60,-54,54
61,-37,37
62,-65,65
63,-41,41
64,-81,81
65,-39,39
66,-35,35
67,-61,61
68,-57,57
69,-43,43
70,-59,59
71,-43,43
72,-51,51
73,-43,43
74,-69,69
75,-41,41
76,-194,95
77,-35,35
78,-35,35
79,-81,81
80,-65,65
81,-35,35
82,-47,47
83,-53,53
84,-165,66
85,-69,69
86,-35,35
87,-56,56
88,-164,65
89,-45,45
90,-43,43
91,-43,43
92,-29,29
93,-69,69
94,-33,33
95,-57,57
96,-29,29
97,-55,55
98,-61,61
99,-162,63
100,-55,55
101,-31,31
102,-53,53
103,-39,39
104,-55,55
105,-25,25
106,-33,33
107,-49,49
108,-65,65
109,-45,45
110,-29,29
111,-25,25
112,-51,51
113,-43,43
114,-47,47
115,-41,41
116,-27,27
117,-31,31
118,-180,81
119,-43,43
120,-25,25
121,-47,47
122,-65,65
123,-29,29
124,-31,31
125,-49,49
126,-25,25
127,-45,45
128,-49,49
129,-37,37
130,-49,49
131,-25,25
132,-29,29
133,-35,35
134,-37,37
135,-43,43
136,-31,31
137,-51,51
138,-25,25
139,-51,51
140,-21,21
141,-35,35
142,-31,31
143,-41,41
144,-29,29
145,-27,27
146,-47,47
147,-27,27
148,-23,23
149,-45,45
150,-31,31
151,-33,33
152,-31,31
153,-148,49
154,-41,41
155,-25,25
156,-29,29
157,-31,31
158,-33,33
159,-27,27
160,-27,27
161,-29,29
162,-27,27
163,-27,27
164,-23,23
165,-35,35
166,-21,21
167,-23,23
168,-23,23
169,-41,41
170,-39,39
171,-21,21
172,-25,25
173,-23,23
174,-31,31
175,-21,21
176,-155,56
177,-21,21
178,-37,37
179,-17,17
180,-19,19
181,-39,39
182,-25,25
183,-25,25
184,-19,19
185,-29,29
186,-29,29
187,-25,25
188,-25,25
189,-42,42
190,-21,21
191,-21,21
192,-25,25
193,-29,29
194,-15,15
195,-21,21
196,-17,17
197,-29,29
198,-25,25
199,-15,15
200,-33,33
201,-37,37
202,-17,17
203,-29,29
204,-17,17
205,-25,25
206,-23,23
207,-25,25
208,-25,25
209,-25,25
210,-21,21
211,-37,37
212,-17,17
213,-17,17
214,-23,23
215,-31,31
216,-21,21
217,-21,21
218,-21,21
219,-19,19
220,-17,17
221,-27,27
222,-23,23
223,-15,15
224,-19,19
225,-43,43
226,-15,15
227,-25,25
228,-19,19
229,-19,19
230,-19,19
231,-19,19
232,-21,21
233,-23,23
234,-31,31
235,-23,23
236,-19,19
237,-29,29
238,-30,30
239,-19,19
240,-17,17
241,-24,24
242,-15,15
243,-23,23
244,-21,21
245,-15,15
246,-29,29
247,-19,19
248,-17,17
249,-29,29
250,-21,21
251,-25,25
252,-25,25
253,-19,19
254,-25,25
255,-21,21
256,-19,19
257,-19,19
258,-15,15
259,-21,21
260,-19,19
261,-23,23
262,-27,27
263,-19,19
264,-21,21
265,-21,21
266,-23,23
267,-17,17
268,-25,25
269,-27,27
270,-19,19
271,-19,19
272,-21,21
273,-15,15
274,-21,21
275,-17,17
276,-15,15
277,-23,23
278,-17,17
279,-19,19
280,-23,23
281,-27,27
282,-17,17
283,-23,23
284,-19,19
285,-17,17
286,-17,17
287,-15,15
288,-21,21
289,-15,15
290,-21,21
291,-19,19
292,-17,17
293,-120,21
294,-21,21
295,-15,15
296,-19,19
297,-15,15
298,-15,15
299,-35,35
300,-21,21
301,-21,21
302,-15,15
303,-15,15
304,-23,23
305,-17,17
306,-21,21
307,-17,17
308,-15,15
309,-15,15
310,-15,15
311,-17,17
312,-19,19
313,-25,25
314,-19,19
315,-32,32
316,-15,15
317,-17,17
318,-21,21
319,-15,15
320,-17,17
321,-19,19
322,-17,17
323,-17,17
324,-17,17
325,-17,17
326,-19,19
327,-15,15
328,-15,15
329,-21,21
330,-19,19
331,-15,15
332,-17,17
333,-17,17
334,-15,15
335,-19,19
336,-26,26
337,-17,17
338,-15,15
339,-21,21
340,-17,17
341,-15,15
342,-19,19
343,-17,17
344,-27,27
345,-15,15
346,-17,17
347,-15,15
348,-17,17
349,-17,17
350,-19,19
351,-15,15
352,-15,15
353,-15,15
354,-15,15
355,-17,17
356,-17,17
357,-15,15
358,-19,19
359,-15,15
360,-17,17
361,-17,17
362,-19,19
363,-17,17
364,-17,17
365,-21,21
366,-17,17
367,-15,15
368,-17,17
369,-21,21
370,-19,19
371,-17,17
372,-15,15
373,-15,15
374,-25,25
375,-15,15
376,-15,15
377,-17,17
378,-17,17
379,-17,17
380,-15,15
381,-15,15
382,-15,15
383,-15,15
384,-17,17
385,-17,17
386,-25,25
387,-17,17
388,-15,15
389,-15,15
390,-17,17
391,-15,15
392,-15,15
393,-122,23
394,-15,15
395,-15,15
396,-15,15
397,-15,15
398,-21,21
399,-15,15
400,-17,17
401,-17,17
402,-17,17
403,-15,15
404,-15,15
405,-15,15
406,-17,17
407,-15,15
408,-15,15
409,-17,17
410,-15,15
411,-15,15
412,-17,17
413,-19,19
414,-17,17
415,-17,17
416,-17,17
417,-15,15
418,-15,15
419,-17,17
420,-15,15
421,-15,15
422,-15,15
423,-21,21
424,-15,15
425,-15,15
426,-17,17
427,-15,15
428,-17,17
429,-15,15
430,-15,15
431,-15,15
432,-15,15
433,-15,15
434,-21,21
435,-15,15
436,-15,15
437,-17,17
438,-15,15
439,-15,15
440,-15,15
441,-17,17
442,-15,15
443,-15,15
444,-17,17
445,-15,15
446,-17,17
447,-17,17
448,-15,15
449,-17,17
450,-15,15
451,-17,17
452,-15,15
453,-15,15
454,-15,15
455,-15,15
456,-15,15
457,-22,22
458,-15,15
459,-15,15
460,-15,15
461,-15,15
462,-15,15
463,-15,15
464,-15,15
465,-15,15
466,-15,15
467,-15,15
468,-15,15
469,-15,15
470,-15,15
471,-17,17
472,-21,21
473,-15,15
474,-15,15
475,-15,15
476,-15,15
477,-17,17
478,-15,15
479,-17,17
480,-17,17
481,-15,15
482,-15,15
483,-15,15
484,-17,17
485,-21,21
486,-15,15
487,-15,15
488,-15,15
489,-15,15
490,-15,15
491,-17,17
492,-15,15
493,-17,17
494,-19,19
495,-15,15
496,-15,15
497,-15,15
498,-15,15
499,-15,15
500,-15,15
501,-15,15
502,-15,15
503,-15,15
504,-15,15
505,-15,15
506,-15,15
507,-15,15
508,-17,17
509,-15,15
510,-15,15
511,-15,15
512,-15,15
513,-15,15
514,-15,15
515,-15,15
516,-17,17
517,-15,15
518,-15,15
519,-15,15
520,-15,15
521,-15,15
522,-15,15
523,-15,15
524,-15,15
525,-15,15
526,-15,15
527,-15,15
528,-15,15
529,-15,15
530,-15,15
531,-17,17
532,-17,17
533,-15,15
534,-17,17
535,-15,15
536,-15,15
537,-15,15
538,-15,15
539,-15,15
540,-15,15
541,-15,15
542,-19,19
543,-15,15
544,-15,15
545,-15,15
546,-17,17
547,-15,15
548,-15,15
549,-15,15
550,-15,15
551,-15,15
552,-15,15
553,-15,15
554,-15,15
555,-15,15
556,-15,15
557,-15,15
558,-15,15
559,-15,15
560,-15,15
561,-15,15
562,-15,15
563,-20,20
564,-17,17
565,-15,15
566,-15,15
567,-15,15
568,-15,15
569,-15,15
570,-17,17
571,-17,17
572,-15,15
573,-15,15
574,-15,15
575,-15,15
576,-17,17
577,-15,15
578,-15,15
579,-15,15
580,-15,15
581,-15,15
582,-15,15
583,-17,17
584,-15,15
585,-15,15
586,-15,15
587,-15,15
588,-15,15
589,-15,15
590,-15,15
591,-15,15
592,-15,15
593,-15,15
594,-17,17
595,-15,15
596,-15,15
597,-15,15
598,-16,16
599,-16,16
600,-15,15
601,-15,15
602,-15,15
603,-15,15
604,-15,15
605,-17,17
606,-15,15
607,-15,15
608,-15,15
609,-15,15
610,-15,15
611,-15,15
612,-15,15
613,-15,15
614,-15,15
615,-15,15
616,-15,15
617,-15,15
618,-15,15
619,-15,15
620,-15,15
621,-15,15
622,-15,15
623,-15,15
624,-15,15
625,-15,15
626,-15,15
627,-15,15
628,-15,15
629,-15,15
630,-15,15
631,-15,15
632,-15,15
633,-21,21
634,-15,15
635,-15,15
636,-15,15
637,-15,15
638,-15,15
639,-15,15
640,-15,15
641,-15,15
642,-15,15
643,-15,15
644,-15,15
645,-15,15
646,-17,17
647,-15,15
648,-21,21
649,-15,15
650,-15,15
651,-15,15
652,-15,15
653,-17,17
654,-15,15
