episodes,rewards,steps
0,-870,200
1,-740,200
2,-710,200
3,-600,200
4,-580,200
5,-620,200
6,-590,200
7,-590,200
8,-520,200
9,-570,200
10,-580,200
11,-580,200
12,-500,200
13,-540,200
14,-510,200
15,-570,200
16,-560,200
17,-540,200
18,-490,200
19,-490,200
20,-530,200
21,-520,200
22,-530,200
23,-520,200
24,-500,200
25,-510,200
26,-520,200
27,-530,200
28,-560,200
29,-490,200
30,-530,200
31,-359,149
32,-470,200
33,-510,200
34,-520,200
35,-500,200
36,-540,200
37,-560,200
38,-500,200
39,-480,200
40,-490,200
41,-480,200
42,-540,200
43,-500,200
44,-500,200
45,-480,200
46,-550,200
47,-490,200
48,-540,200
49,-420,200
50,-530,200
51,-510,200
52,-530,200
53,-460,200
54,-480,200
55,-480,200
56,-470,200
57,-490,200
58,-470,200
59,-500,200
60,-500,200
61,-480,200
62,-450,200
63,-490,200
64,-420,200
65,-480,200
66,-440,200
67,-490,200
68,-188,88
69,-327,167
70,-530,200
71,-48,28
72,-460,200
73,-460,200
74,-25,25
75,-428,178
76,-460,200
77,-341,151
78,-480,200
79,-346,156
80,-34,24
81,-480,200
82,-480,200
83,-222,112
84,-470,200
85,-409,169
86,-139,59
87,-520,200
88,-108,58
89,-3,13
90,-131,71
91,-355,145
92,-470,200
93,-450,200
94,-490,200
95,-425,185
96,-130,70
97,-246,116
98,-480,200
99,-500,200
100,-13,13
101,-63,33
102,-311,131
103,-450,200
104,-520,200
105,-430,200
106,-79,39
107,-94,44
108,-37,27
109,-235,115
110,-440,200
111,-19,19
112,-424,194
113,-470,200
114,-344,164
115,-307,147
116,-82,52
117,-387,177
118,-500,200
119,-315,145
120,-289,119
121,-139,79
122,-392,192
123,-13,13
124,-35,25
125,-82,42
126,-134,64
127,-93,53
128,2,8
129,-212,102
130,-87,47
131,-70,40
132,-109,49
133,-77,47
134,-17,17
135,-118,58
136,-132,62
137,-76,36
138,-93,63
139,-357,157
140,-129,69
141,-46,26
142,-60,30
143,-339,159
144,-10,10
145,-164,84
146,-145,75
147,-53,33
148,-3,13
149,-55,35
150,-398,178
151,3,7
152,-20,20
153,-354,154
154,-439,189
155,-122,62
156,-80,40
157,-29,19
158,-185,85
159,-354,154
160,-35,25
161,-132,62
162,-155,75
163,-261,111
164,3,7
165,-135,65
166,-57,37
167,-432,182
168,-63,33
169,-119,59
170,3,7
171,-16,16
172,-112,62
173,1,9
174,-354,164
175,-101,61
176,-86,46
177,-33,23
178,-339,139
179,3,7
180,-9,9
181,-224,104
182,-11,11
183,-52,32
184,-98,48
185,-26,16
186,-89,39
187,1,9
188,-66,36
189,-77,37
190,5,5
191,2,8
192,-64,34
193,5,5
194,-10,10
195,-79,39
196,3,7
197,3,7
198,0,10
199,-33,23
200,2,8
201,5,5
202,-110,50
203,-43,23
204,3,7
205,-13,13
206,1,9
207,-32,22
208,-77,37
209,5,5
210,-23,23
211,-15,15
212,4,6
213,1,9
214,-42,22
215,-13,13
216,-64,34
217,-13,13
218,-2,12
219,5,5
220,-129,69
221,-133,63
222,-47,37
223,-11,11
224,-25,25
225,-1,11
226,5,5
227,-103,53
228,3,7
229,2,8
230,-67,37
231,-65,35
232,-15,15
233,-30,20
234,3,7
235,4,6
236,3,7
237,-13,13
238,1,9
239,-16,16
240,3,7
241,-39,29
242,3,7
243,3,7
244,3,7
245,-13,13
246,5,5
247,3,7
248,2,8
249,-12,12
250,-14,14
251,2,8
252,-57,37
253,-29,19
254,4,6
255,2,8
256,-13,13
257,-40,30
258,3,7
259,3,7
260,-30,20
261,-34,24
262,-1,11
263,-13,13
264,2,8
265,5,5
266,3,7
267,-42,32
268,-17,17
269,-12,12
270,-28,18
271,-13,13
272,-2,12
273,3,7
274,3,7
275,3,7
276,-14,14
277,-14,14
278,3,7
279,4,6
280,3,7
281,5,5
282,-13,13
283,3,7
284,2,8
285,5,5
286,-1,11
287,-39,29
288,5,5
289,3,7
290,3,7
291,3,7
292,-11,11
293,-30,20
294,-18,18
295,-13,13
296,2,8
297,5,5
298,3,7
299,4,6
300,2,8
301,-15,15
302,-14,14
303,-13,13
304,-55,35
305,-19,19
306,3,7
307,-12,12
308,3,7
309,-67,37
310,3,7
311,-20,20
312,4,6
313,5,5
314,-20,20
315,-36,26
316,3,7
317,4,6
318,2,8
319,-12,12
320,5,5
321,4,6
322,-16,16
323,4,6
324,-18,18
325,-36,26
326,3,7
327,3,7
328,-28,18
329,-31,21
330,-1,11
331,-109,59
332,-29,19
333,3,7
334,3,7
335,0,10
336,-15,15
337,-12,12
338,3,7
339,3,7
340,-14,14
341,-35,25
342,-16,16
343,-21,21
344,-28,18
345,2,8
346,-12,12
347,-28,18
348,3,7
349,3,7
350,3,7
351,-10,10
352,3,7
353,3,7
354,-62,32
355,5,5
356,4,6
357,-28,18
358,3,7
359,3,7
360,2,8
361,2,8
362,-16,16
363,2,8
364,-15,15
365,-18,18
366,3,7
367,-18,18
368,-15,15
369,5,5
370,-29,19
371,3,7
372,-14,14
373,1,9
374,-19,19
375,3,7
376,3,7
377,3,7
378,-31,21
379,2,8
380,3,7
381,3,7
382,-14,14
383,3,7
384,2,8
385,3,7
386,4,6
387,-8,8
388,3,7
389,4,6
390,-13,13
391,3,7
392,-12,12
393,-32,22
394,3,7
395,-27,17
396,3,7
397,3,7
398,-37,27
399,-57,37
