episodes,rewards,steps
0,-649,154
1,-2822,842
2,-176,176
3,-139,139
4,-221,221
5,-51,51
6,-219,219
7,-247,148
8,-90,90
9,-145,145
10,-104,104
11,-162,162
12,-49,49
13,-129,129
14,-140,140
15,-19,19
16,-131,131
17,-115,115
18,-43,43
19,-133,133
20,-73,73
21,-89,89
22,-131,131
23,-61,61
24,-113,113
25,-119,119
26,-119,119
27,-71,71
28,-132,132
29,-47,47
30,-79,79
31,-57,57
32,-125,125
33,-77,77
34,-87,87
35,-49,49
36,-57,57
37,-81,81
38,-81,81
39,-97,97
40,-61,61
41,-85,85
42,-217,118
43,-39,39
44,-117,117
45,-41,41
46,-71,71
47,-105,105
48,-73,73
49,-68,68
50,-95,95
51,-41,41
52,-41,41
53,-67,67
54,-71,71
55,-65,65
56,-41,41
57,-61,61
58,-81,81
59,-21,21
60,-76,76
61,-80,80
62,-23,23
63,-53,53
64,-67,67
65,-33,33
66,-41,41
67,-59,59
68,-33,33
69,-64,64
70,-188,89
71,-47,47
72,-57,57
73,-45,45
74,-33,33
75,-79,79
76,-45,45
77,-23,23
78,-47,47
79,-57,57
80,-47,47
81,-45,45
82,-53,53
83,-29,29
84,-33,33
85,-69,69
86,-61,61
87,-35,35
88,-59,59
89,-43,43
90,-17,17
91,-39,39
92,-59,59
93,-29,29
94,-31,31
95,-55,55
96,-35,35
97,-45,45
98,-29,29
99,-59,59
100,-25,25
101,-29,29
102,-33,33
103,-39,39
104,-19,19
105,-47,47
106,-57,57
107,-19,19
108,-47,47
109,-25,25
110,-23,23
111,-53,53
112,-39,39
113,-34,34
114,-27,27
115,-27,27
116,-63,63
117,-33,33
118,-17,17
119,-21,21
120,-19,19
121,-49,49
122,-25,25
123,-39,39
124,-25,25
125,-167,68
126,-35,35
127,-29,29
128,-31,31
129,-44,44
130,-33,33
131,-23,23
132,-37,37
133,-134,35
134,-31,31
135,-19,19
136,-29,29
137,-37,37
138,-25,25
139,-39,39
140,-47,47
141,-29,29
142,-27,27
143,-21,21
144,-41,41
145,-29,29
146,-25,25
147,-25,25
148,-21,21
149,-29,29
150,-39,39
151,-35,35
152,-35,35
153,-32,32
154,-31,31
155,-19,19
156,-21,21
157,-35,35
158,-33,33
159,-37,37
160,-25,25
161,-41,41
162,-25,25
163,-23,23
164,-27,27
165,-25,25
166,-39,39
167,-28,28
