episodes,rewards,steps
0,-3460,1000
1,-2800,1000
2,-2910,1000
3,-2620,1000
4,-2620,1000
5,-2590,1000
6,-2390,1000
7,-2510,1000
8,-2470,1000
9,-611,251
10,-891,371
11,-265,125
12,-2281,911
13,-1203,523
14,-616,266
15,-213,113
16,-633,273
17,-1112,482
18,-350,160
19,-852,342
20,-87,47
21,-11,11
22,-27,17
23,-117,57
24,-15,15
25,4,6
26,-27,17
27,-94,44
28,-184,84
29,-44,24
30,-150,80
31,-14,14
32,-219,89
33,-50,30
34,-111,61
35,-10,10
36,-28,18
37,-34,24
38,-12,12
39,-19,19
40,-136,66
41,-171,71
42,-51,31
43,4,6
44,-117,57
45,4,6
46,4,6
47,-127,67
48,-78,48
49,-311,131
50,-25,15
51,4,6
52,-49,29
53,-25,15
54,-78,48
55,-238,108
56,4,6
57,-17,17
58,-29,19
59,-218,98
60,4,6
61,-129,59
62,-344,144
63,-25,15
64,-15,15
65,-77,37
66,2,8
67,0,10
68,4,6
69,4,6
70,-242,102
71,3,7
72,4,6
73,-53,33
74,-14,14
75,4,6
76,4,6
77,-30,20
78,-12,12
79,2,8
80,-12,12
81,-150,70
82,-48,28
83,-102,52
84,4,6
85,-97,47
86,-10,10
87,-125,55
88,-28,18
89,-26,16
90,-107,57
91,4,6
92,-16,16
93,-84,44
94,-13,13
95,-43,23
96,-14,14
97,-12,12
98,-13,13
99,-2,12
100,-14,14
101,-47,27
102,4,6
103,4,6
104,-91,51
105,-65,35
106,4,6
107,-12,12
108,-14,14
109,-13,13
110,4,6
111,-41,31
112,-13,13
113,4,6
114,-4,14
115,-74,34
116,4,6
117,-60,30
118,4,6
119,-15,15
120,3,7
121,4,6
122,4,6
123,-19,19
124,4,6
125,-49,29
126,-13,13
127,-30,20
128,2,8
129,-21,21
130,-45,25
131,-32,22
132,-67,37
133,-46,26
134,0,10
135,-12,12
136,-9,9
137,-10,10
138,-14,14
139,4,6
140,-11,11
141,-12,12
142,2,8
143,-35,25
144,4,6
145,-73,43
146,4,6
147,-20,20
148,4,6
149,2,8
150,-29,19
151,-20,20
152,4,6
153,-28,18
154,4,6
155,4,6
156,4,6
157,4,6
158,-34,24
159,4,6
160,4,6
161,4,6
162,-25,15
163,4,6
164,3,7
165,-48,28
166,4,6
167,-58,38
168,-20,20
169,-9,9
170,3,7
171,4,6
172,3,7
173,-33,23
174,-50,30
175,-16,16
176,-32,22
177,-65,35
178,4,6
179,-13,13
180,-11,11
181,3,7
182,4,6
183,-16,16
184,-12,12
185,4,6
186,-48,28
187,-13,13
188,2,8
189,3,7
190,-27,17
191,3,7
192,4,6
193,4,6
194,4,6
195,4,6
196,4,6
197,-13,13
198,-14,14
199,4,6
200,4,6
201,-13,13
202,-33,23
203,4,6
204,-32,22
205,4,6
206,-48,28
207,4,6
208,4,6
209,3,7
210,4,6
211,-34,24
212,3,7
213,4,6
214,4,6
215,4,6
216,3,7
217,-12,12
218,3,7
219,-8,8
220,3,7
221,4,6
222,-46,26
223,-33,23
224,4,6
225,1,9
226,3,7
227,2,8
228,-34,24
229,4,6
230,4,6
231,4,6
232,4,6
233,-55,35
234,-37,27
235,4,6
236,-14,14
237,-65,35
238,4,6
239,-13,13
240,4,6
241,4,6
242,-13,13
243,-30,20
244,3,7
245,-13,13
246,4,6
247,4,6
248,-13,13
249,-32,22
250,4,6
251,-55,35
252,-12,12
253,3,7
254,3,7
255,3,7
256,4,6
257,2,8
258,-12,12
259,3,7
260,-10,10
261,-12,12
262,4,6
263,3,7
264,3,7
265,-16,16
266,3,7
267,-47,27
268,-13,13
269,4,6
270,3,7
271,-13,13
272,4,6
273,4,6
274,-17,17
275,4,6
276,3,7
277,3,7
278,4,6
279,-41,31
280,3,7
281,-47,27
282,-32,22
283,4,6
284,3,7
285,-17,17
286,3,7
287,3,7
288,3,7
289,-12,12
290,4,6
291,3,7
292,3,7
293,-24,14
294,3,7
295,4,6
296,3,7
297,3,7
298,3,7
299,-13,13
