episodes,rewards
0,21.0
1,23.0
2,24.0
3,27.0
4,33.0
5,18.0
6,47.0
7,18.0
8,18.0
9,21.0
10,26.0
11,31.0
12,11.0
13,17.0
14,22.0
15,16.0
16,17.0
17,34.0
18,20.0
19,11.0
20,50.0
21,15.0
22,11.0
23,39.0
24,11.0
25,28.0
26,37.0
27,26.0
28,63.0
29,18.0
30,17.0
31,13.0
32,9.0
33,15.0
34,13.0
35,21.0
36,17.0
37,22.0
38,20.0
39,31.0
40,9.0
41,10.0
42,11.0
43,15.0
44,18.0
45,10.0
46,30.0
47,14.0
48,36.0
49,26.0
50,21.0
51,15.0
52,9.0
53,14.0
54,10.0
55,27.0
56,14.0
57,15.0
58,22.0
59,12.0
60,20.0
61,10.0
62,12.0
63,29.0
64,11.0
65,13.0
66,27.0
67,50.0
68,29.0
69,40.0
70,29.0
71,18.0
72,27.0
73,11.0
74,15.0
75,10.0
76,13.0
77,11.0
78,17.0
79,13.0
80,18.0
81,24.0
82,15.0
83,34.0
84,11.0
85,35.0
86,26.0
87,9.0
88,19.0
89,19.0
90,16.0
91,25.0
92,18.0
93,37.0
94,46.0
95,88.0
96,26.0
97,55.0
98,43.0
99,141.0
100,89.0
101,151.0
102,47.0
103,56.0
104,64.0
105,56.0
106,49.0
107,87.0
108,58.0
109,55.0
110,57.0
111,165.0
112,31.0
113,200.0
114,57.0
115,107.0
116,46.0
117,45.0
118,64.0
119,69.0
120,67.0
121,65.0
122,47.0
123,63.0
124,134.0
125,60.0
126,89.0
127,99.0
128,51.0
129,109.0
130,131.0
131,156.0
132,118.0
133,185.0
134,86.0
135,149.0
136,138.0
137,143.0
138,114.0
139,130.0
140,139.0
141,106.0
142,135.0
143,164.0
144,156.0
145,155.0
146,200.0
147,186.0
148,64.0
149,200.0
150,135.0
151,135.0
152,168.0
153,200.0
154,200.0
155,200.0
156,167.0
157,198.0
158,188.0
159,200.0
160,200.0
161,200.0
162,200.0
163,200.0
164,200.0
165,200.0
166,200.0
167,200.0
168,189.0
169,200.0
170,146.0
171,200.0
172,200.0
173,200.0
174,115.0
175,170.0
176,200.0
177,200.0
178,178.0
179,200.0
180,200.0
181,200.0
182,200.0
183,200.0
184,200.0
185,200.0
186,120.0
187,200.0
188,200.0
189,200.0
190,200.0
191,200.0
192,200.0
193,200.0
194,200.0
195,200.0
196,200.0
197,200.0
198,200.0
199,200.0
